번호,분류,우선순위,영역,처리내용,적용위치,상태
29,비즈니스/전환,P2,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
30,비즈니스/전환,P2,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
31,비즈니스/전환,P2,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
32,비즈니스/전환,P2,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
33,비즈니스/전환,P2,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
34,비즈니스/전환,P2,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
35,비즈니스/전환,P2,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
36,비즈니스/전환,P2,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
37,비즈니스/전환,P2,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
38,비즈니스/전환,P2,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
39,비즈니스/전환,P2,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
40,비즈니스/전환,P2,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
41,비즈니스/전환,P2,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
42,비즈니스/전환,P2,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
43,비즈니스/전환,P3,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
44,비즈니스/전환,P3,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
45,비즈니스/전환,P3,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
46,비즈니스/전환,P3,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
47,비즈니스/전환,P3,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
48,비즈니스/전환,P3,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
49,비즈니스/전환,P3,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
50,비즈니스/전환,P3,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
51,비즈니스/전환,P3,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
52,비즈니스/전환,P3,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
53,UX/UI,P0,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
54,UX/UI,P0,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
55,UX/UI,P0,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
56,UX/UI,P0,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
57,UX/UI,P0,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
58,UX/UI,P0,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
59,UX/UI,P0,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
60,UX/UI,P0,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
61,UX/UI,P1,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
62,UX/UI,P1,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
63,UX/UI,P1,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
64,UX/UI,P1,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
65,UX/UI,P1,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
66,UX/UI,P1,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
67,UX/UI,P1,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
68,UX/UI,P1,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
69,UX/UI,P1,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
70,UX/UI,P1,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
71,UX/UI,P1,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
72,UX/UI,P1,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
73,UX/UI,P1,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
74,UX/UI,P1,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
75,UX/UI,P1,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
76,UX/UI,P1,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
77,UX/UI,P2,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
78,UX/UI,P2,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
79,UX/UI,P2,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
80,UX/UI,P2,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
81,UX/UI,P2,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
82,UX/UI,P2,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
83,UX/UI,P2,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
84,UX/UI,P2,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
85,UX/UI,P2,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
86,UX/UI,P2,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
87,UX/UI,P2,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
88,UX/UI,P2,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
89,UX/UI,P2,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
90,UX/UI,P2,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
91,UX/UI,P2,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
92,UX/UI,P2,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
93,UX/UI,P2,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
94,UX/UI,P2,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
95,UX/UI,P3,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
96,UX/UI,P3,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
97,UX/UI,P3,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
98,UX/UI,P3,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
99,UX/UI,P3,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
100,UX/UI,P3,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
101,UX/UI,P3,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
102,UX/UI,P3,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
103,UX/UI,P3,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
104,UX/UI,P3,UX/UI,모바일 터치 영역·시선 흐름·고정 CTA·카드형 섹션 보강,apps/public/home/app.css,완료
105,콘텐츠/카피,P0,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
106,콘텐츠/카피,P0,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
107,콘텐츠/카피,P0,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
108,콘텐츠/카피,P0,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
109,콘텐츠/카피,P0,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
110,콘텐츠/카피,P0,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
111,콘텐츠/카피,P0,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
112,콘텐츠/카피,P0,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
113,콘텐츠/카피,P1,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
114,콘텐츠/카피,P1,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
115,콘텐츠/카피,P1,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
116,콘텐츠/카피,P1,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
117,콘텐츠/카피,P1,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
118,콘텐츠/카피,P1,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
119,콘텐츠/카피,P1,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
120,콘텐츠/카피,P1,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
121,콘텐츠/카피,P1,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
122,콘텐츠/카피,P1,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
123,콘텐츠/카피,P1,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
124,콘텐츠/카피,P1,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
125,콘텐츠/카피,P1,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
126,콘텐츠/카피,P1,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
127,콘텐츠/카피,P1,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
128,콘텐츠/카피,P1,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
129,콘텐츠/카피,P2,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
130,콘텐츠/카피,P2,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
131,콘텐츠/카피,P2,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
132,콘텐츠/카피,P2,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
133,콘텐츠/카피,P2,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
134,콘텐츠/카피,P2,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
135,콘텐츠/카피,P2,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
136,콘텐츠/카피,P2,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
137,콘텐츠/카피,P2,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
138,콘텐츠/카피,P2,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
139,콘텐츠/카피,P2,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
140,콘텐츠/카피,P2,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
141,콘텐츠/카피,P2,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
142,콘텐츠/카피,P2,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
143,콘텐츠/카피,P2,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
144,콘텐츠/카피,P2,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
145,콘텐츠/카피,P2,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
146,콘텐츠/카피,P2,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
147,콘텐츠/카피,P3,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
148,콘텐츠/카피,P3,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
149,콘텐츠/카피,P3,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
150,콘텐츠/카피,P3,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
151,콘텐츠/카피,P3,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
152,콘텐츠/카피,P3,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
153,콘텐츠/카피,P3,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
154,콘텐츠/카피,P3,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
155,콘텐츠/카피,P3,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
156,콘텐츠/카피,P3,콘텐츠/카피,첫 화면 설명·FAQ·리스크 완화 문구·고객 중심 표현 보강,apps/public/home/index.html,완료
157,SEO,P0,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
158,SEO,P0,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
159,SEO,P0,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
160,SEO,P0,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
161,SEO,P0,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
162,SEO,P0,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
163,SEO,P0,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
164,SEO,P0,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
165,SEO,P1,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
166,SEO,P1,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
167,SEO,P1,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
168,SEO,P1,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
169,SEO,P1,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
170,SEO,P1,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
171,SEO,P1,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
172,SEO,P1,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
173,SEO,P1,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
174,SEO,P1,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
175,SEO,P1,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
176,SEO,P1,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
177,SEO,P1,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
178,SEO,P1,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
179,SEO,P1,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
180,SEO,P1,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
181,SEO,P2,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
182,SEO,P2,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
183,SEO,P2,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
184,SEO,P2,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
185,SEO,P2,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
186,SEO,P2,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
187,SEO,P2,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
188,SEO,P2,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
189,SEO,P2,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
190,SEO,P2,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
191,SEO,P2,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
192,SEO,P2,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
193,SEO,P2,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
194,SEO,P2,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
195,SEO,P2,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
196,SEO,P2,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
197,SEO,P2,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
198,SEO,P2,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
199,SEO,P3,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
200,SEO,P3,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
201,SEO,P3,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
202,SEO,P3,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
203,SEO,P3,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
204,SEO,P3,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
205,SEO,P3,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
206,SEO,P3,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
207,SEO,P3,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
208,SEO,P3,SEO,메타·canonical·robots·sitemap·JSON-LD 구조화 데이터 보강,server/index.mjs,완료
